	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_04_WF_RNA_GV_totalRNA_Mll3KO_W5_rep1	220823_05_WF_RNA_GV_totalRNA_Mll3KO_W5_rep2	220823_06_WF_RNA_GV_totalRNA_Mll3KO_W5_rep3
ENSMUSG00000000001.4	1072	752	1478	1076	1029	1137
ENSMUSG00000000028.15	348	353	667	422	408	406
ENSMUSG00000000031.16	0	0	0	1	0	0
ENSMUSG00000000049.11	1	2	0	0	0	1
ENSMUSG00000000056.7	327	209	382	333	271	311
ENSMUSG00000000058.6	0	0	0	1	1	1
ENSMUSG00000000078.7	26	8	23	9	18	9
ENSMUSG00000000085.16	744	606	1090	829	657	700
ENSMUSG00000000088.7	327	160	247	378	235	227
ENSMUSG00000000093.6	1	0	1	1	0	0
ENSMUSG00000000094.12	1387	1037	1885	1557	1441	1690
ENSMUSG00000000120.6	1	0	1	0	2	1
ENSMUSG00000000125.5	0	2	0	2	1	1
ENSMUSG00000000126.11	16	15	18	17	18	18
ENSMUSG00000000127.15	279	183	410	268	266	341
ENSMUSG00000000131.15	492	390	706	562	547	563
ENSMUSG00000000142.15	2556	1981	4366	3995	3471	3908
ENSMUSG00000000148.17	46	21	67	55	46	46
ENSMUSG00000000149.10	718	528	968	812	602	701
ENSMUSG00000000154.16	2	2	5	17	6	13
ENSMUSG00000000157.16	6	4	24	8	3	4
ENSMUSG00000000159.16	0	0	4	0	0	0
ENSMUSG00000000167.14	9	5	12	3	7	13
ENSMUSG00000000168.9	364	223	476	379	403	447
ENSMUSG00000000171.5	596	480	809	616	635	707
ENSMUSG00000000182.9	0	0	0	0	0	0
ENSMUSG00000000183.6	3	2	2	0	0	1
ENSMUSG00000000184.12	1368	386	746	660	914	1133
ENSMUSG00000000194.13	240	191	359	260	297	266
ENSMUSG00000000197.8	6	20	23	12	17	25
ENSMUSG00000000202.9	7	4	6	6	8	9
ENSMUSG00000000204.16	2	0	0	0	2	3
ENSMUSG00000000214.11	355	225	335	470	430	414
ENSMUSG00000000215.11	0	0	1	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0
ENSMUSG00000000244.17	0	0	0	0	0	0
ENSMUSG00000000247.11	85	49	109	118	104	120
ENSMUSG00000000248.16	5	1	3	23	19	10
ENSMUSG00000000253.13	328	268	456	273	257	250
ENSMUSG00000000263.15	0	0	0	0	0	0
ENSMUSG00000000275.16	17	11	18	7	16	14
ENSMUSG00000000276.11	350	239	492	401	367	404
ENSMUSG00000000278.10	315	254	536	239	247	292
ENSMUSG00000000282.12	181	130	228	204	162	178
ENSMUSG00000000290.13	18	21	42	4	8	16
ENSMUSG00000000295.13	88	56	111	60	51	54
