id	WT_rep1	WT_rep2	KO_rep1	KO_rep2
ENSMUSG00000025499.18	59.86737546646663	57.53894281375947	63.143740299882566	63.42007276132098
ENSMUSG00000025500.12	0.9758333409367015	1.1431578042468769	1.6580413207846625	2.0369294202854826
ENSMUSG00000025503.5	42.49754199779335	42.068207196285066	52.59675523155791	56.153189424086285
ENSMUSG00000025504.14	3.17145835804428	2.514947169343129	2.993685718083418	4.073858840570965
ENSMUSG00000025505.16	2.9275000228101042	1.905263007078128	2.1186083543359575	1.9818772737912806
ENSMUSG00000025507.13	3.5130000273721254	3.2008418518912554	0.6447938469718132	1.4864079553434604
ENSMUSG00000025508.13	77.38358393628043	65.08378432178885	67.79546733875064	70.19148678010785
ENSMUSG00000025509.15	28.689500223539024	29.188629268436923	29.936857180834185	29.72815910686921
ENSMUSG00000025510.14	36.74012528626681	41.306101993453815	41.497089722971694	42.390152800535724
ENSMUSG00000025511.14	2.000458348920238	1.0669472839637517	0.8750773637474607	1.6515643948260672
ENSMUSG00000025512.15	25.37166686435424	23.549050767485664	22.337501127237815	25.158830947850422
ENSMUSG00000025519.5	35.276375274861756	30.560418633533175	28.46304267347004	29.948367692846016
ENSMUSG00000025521.15	4.147291698980982	2.97221029104188	3.684536268410361	3.5233373756289432
ENSMUSG00000025532.13	11.124500086678397	12.879577927848146	12.435309905884969	12.717045840160717
ENSMUSG00000025533.15	1.0734166750303715	1.4479998853793774	0.8290206603923312	0.7707300509188313
ENSMUSG00000025534.17	2.683541687575929	2.7435787301925045	0.6908505503269426	0.9909386368956403
ENSMUSG00000025537.12	8.099416729774623	9.06905191369189	1.519871210719274	1.596512248331865
ENSMUSG00000025538.15	17.467416802766955	17.37599862455253	17.501547274949214	16.790904680731682
ENSMUSG00000025544.13	528.657712452458	551.3831142484103	570.412271053279	560.0454862855194
ENSMUSG00000025545.10	25.76200020072892	24.768419092015666	24.456109481573773	20.589502788831638
ENSMUSG00000025555.14	174.38141802538857	174.29345988750717	118.04333069919694	114.89382973340007
ENSMUSG00000025558.17	258.7422103493664	236.8622970399529	109.7070673919185	125.4087897137927
ENSMUSG00000025571.13	288.1635855786079	308.5001861060905	230.69802710584372	233.6413097213943
ENSMUSG00000025574.13	23.420000182480834	25.682945335413166	22.291444423882684	24.38810089693159
ENSMUSG00000025575.14	65.08808384047799	64.0168370378251	76.96075130642141	74.70576279263244
ENSMUSG00000025577.7	327.44087755131017	328.92460554196805	360.3015903471782	353.04941546731897
ENSMUSG00000025578.9	4.684000036496167	7.544841508029387	14.139407930024761	9.689177782979593
ENSMUSG00000025579.14	79.72558395452852	83.06946710860639	63.143740299882566	57.41938879345293
ENSMUSG00000025580.15	144.66729279386598	135.65472610396273	139.78209468281807	143.90631093584466
ENSMUSG00000025583.15	43.66854200691739	38.714944303827565	38.77974422501905	38.976919717895186
ENSMUSG00000025584.17	84.94629232853987	79.63999369586575	58.998636997920904	57.85980596540655
ENSMUSG00000025586.17	805.4040479421066	902.9422443144665	790.3790862773776	782.7314188545674
ENSMUSG00000025591.6	3.6593750285126307	3.581894453306881	4.559613632157822	6.330996846833258
ENSMUSG00000025602.13	2.488375019388589	1.8290524867950029	2.5791753878872528	2.3672422992506963
ENSMUSG00000025607.15	76.45654226239056	76.66778340482388	67.15067349177883	66.28278437901949
ENSMUSG00000025609.15	231.27250180199826	247.37934883902415	153.27670876587104	150.2373077826779
ENSMUSG00000025610.7	2.9762916898569394	2.6673682099093794	1.796211430850051	2.4773465922391007
ENSMUSG00000025612.5	41.47291698980981	39.019786384960064	47.99108489604495	44.372030074327
ENSMUSG00000025613.13	165.89166795923924	149.60125131577462	157.32969866112242	167.08326460990378
ENSMUSG00000025616.14	124.32116763533577	124.75662170347583	120.76067619714958	127.22551054810137
ENSMUSG00000025645.8	0.8294583397961963	1.2955788448131271	0.9671907704577198	1.0459907833898425
ENSMUSG00000025646.9	8.928875069570818	6.630315264631886	11.514175838782378	11.395794324299864
ENSMUSG00000025647.16	22.59054184268464	19.205051111347533	16.99492353804279	14.974183846423008
ENSMUSG00000025648.18	0.8782500068430313	1.4479998853793774	1.1053608805231083	0.6606257579304269
ENSMUSG00000025651.14	17.565000136860625	16.918735502853778	24.087655854732734	27.471021100606915
ENSMUSG00000025702.15	29.275000228101046	29.645892390135675	23.62708882118144	24.938622361873612
ENSMUSG00000025716.14	3.5130000273721254	2.8197892504756297	4.283273412027045	4.18396313355937
ENSMUSG00000025722.16	29.372583562194716	30.17936603211755	39.14819785186009	34.737904437841614
ENSMUSG00000025724.12	35.52033361009593	34.21852360712318	37.12170290423439	36.939990297609704
ENSMUSG00000025726.11	3.6105833614657956	2.514947169343129	13.863067709893983	11.34074217780566
ENSMUSG00000025728.15	86.70279234222593	83.98399335200389	65.44657546763904	64.24585495873401
ENSMUSG00000025730.14	11.026916752584727	8.687999312276265	18.14634112192103	14.368610234986784
ENSMUSG00000025731.15	1.4637500114050521	1.2955788448131271	1.519871210719274	1.871772980802876
ENSMUSG00000025732.5	13.515291771973315	14.022735732095024	15.428995623968387	15.52470531136503
ENSMUSG00000025733.17	46.8887920320085	52.05178535337446	49.60306951347449	50.53787048167766
ENSMUSG00000025736.14	6.684458385416405	5.715789021234384	5.250464182484764	5.3400582099376175
ENSMUSG00000025737.5	19.663041819874536	15.394525097191275	21.646650576910872	19.763720591418604
ENSMUSG00000025743.14	2.0980416830139084	2.0576840476443783	1.1053608805231083	0.8808343439072358
ENSMUSG00000025745.12	125.83370931378765	118.88841164167519	123.66224850852274	128.87707494292744
ENSMUSG00000025747.12	65.5272088438995	68.51325773452949	78.3424524070753	83.6242105246932
ENSMUSG00000025757.12	85.72695900128923	78.72546745246825	69.82196228637635	70.85211253803828
ENSMUSG00000025758.10	237.9081685203678	242.19703345977163	257.41091505181885	249.16601503275933
ENSMUSG00000025759.11	4.4400417012619915	3.505683933023756	6.63216528313865	7.652248362694111
ENSMUSG00000025762.15	44.546792013760424	40.31536522977319	36.75324927739335	38.04103322749375
ENSMUSG00000025764.14	3.17145835804428	1.5242104056625025	2.5791753878872528	3.743545961605752
ENSMUSG00000025766.14	5.318291708105023	4.420210176421257	5.342577589195024	6.826466165281078
ENSMUSG00000025777.8	215.65916834701102	239.75829681071164	279.3339058488605	278.89417413962855
