	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_10_WF_RNA_GV_totalRNA_Mll34KO_W5_rep1	220823_11_WF_RNA_GV_totalRNA_Mll34KO_W5_rep2	220823_12_WF_RNA_GV_totalRNA_Mll34KO_W5_rep3
ENSMUSG00000000001.4	1072	752	1478	1223	1115	958
ENSMUSG00000000028.15	348	353	667	516	419	414
ENSMUSG00000000031.16	0	0	0	6	4	1
ENSMUSG00000000049.11	1	2	0	1	1	0
ENSMUSG00000000056.7	327	209	382	615	499	443
ENSMUSG00000000058.6	0	0	0	0	0	0
ENSMUSG00000000078.7	26	8	23	36	14	13
ENSMUSG00000000085.16	744	606	1090	844	842	677
ENSMUSG00000000088.7	327	160	247	360	325	319
ENSMUSG00000000093.6	1	0	1	0	0	1
ENSMUSG00000000094.12	1387	1037	1885	1365	1291	1164
ENSMUSG00000000120.6	1	0	1	3	3	0
ENSMUSG00000000125.5	0	2	0	0	0	1
ENSMUSG00000000126.11	16	15	18	12	24	10
ENSMUSG00000000127.15	279	183	410	420	314	291
ENSMUSG00000000131.15	492	390	706	572	500	438
ENSMUSG00000000142.15	2556	1981	4366	5775	4869	4097
ENSMUSG00000000148.17	46	21	67	79	80	42
ENSMUSG00000000149.10	718	528	968	1012	934	774
ENSMUSG00000000154.16	2	2	5	7	16	8
ENSMUSG00000000157.16	6	4	24	7	3	1
ENSMUSG00000000159.16	0	0	4	2	4	2
ENSMUSG00000000167.14	9	5	12	2	8	5
ENSMUSG00000000168.9	364	223	476	487	372	316
ENSMUSG00000000171.5	596	480	809	799	760	683
ENSMUSG00000000182.9	0	0	0	0	0	0
ENSMUSG00000000183.6	3	2	2	0	0	1
ENSMUSG00000000184.12	1368	386	746	867	479	847
ENSMUSG00000000194.13	240	191	359	297	249	228
ENSMUSG00000000197.8	6	20	23	44	23	20
ENSMUSG00000000202.9	7	4	6	3	8	3
ENSMUSG00000000204.16	2	0	0	0	0	0
ENSMUSG00000000214.11	355	225	335	471	389	351
ENSMUSG00000000215.11	0	0	1	0	0	0
ENSMUSG00000000216.8	0	0	0	0	2	0
ENSMUSG00000000244.17	0	0	0	0	0	0
ENSMUSG00000000247.11	85	49	109	70	80	49
ENSMUSG00000000248.16	5	1	3	55	63	62
ENSMUSG00000000253.13	328	268	456	172	139	145
ENSMUSG00000000263.15	0	0	0	1	0	1
ENSMUSG00000000275.16	17	11	18	12	7	13
ENSMUSG00000000276.11	350	239	492	505	420	342
ENSMUSG00000000278.10	315	254	536	115	115	129
ENSMUSG00000000282.12	181	130	228	161	136	94
ENSMUSG00000000290.13	18	21	42	42	51	40
ENSMUSG00000000295.13	88	56	111	69	71	47
ENSMUSG00000000296.8	30	4	30	17	9	15
ENSMUSG00000000301.16	23	10	20	15	13	18
ENSMUSG00000000303.12	3755	3416	7017	4572	3573	3115
ENSMUSG00000000305.12	210	176	313	211	199	160
ENSMUSG00000000308.14	0	0	0	1	0	0
ENSMUSG00000000317.11	2	1	2	2	2	8
ENSMUSG00000000318.16	153	99	263	79	108	55
ENSMUSG00000000320.10	50	52	72	60	29	32
ENSMUSG00000000325.16	120	104	214	128	103	90
ENSMUSG00000000326.13	18	7	12	13	8	14
ENSMUSG00000000339.14	89	72	149	144	136	112
ENSMUSG00000000340.10	80	72	153	182	143	124
ENSMUSG00000000346.9	595	355	603	489	445	469
ENSMUSG00000000359.3	0	0	0	0	0	0
ENSMUSG00000000365.9	1567	1235	2487	1356	1160	1149
ENSMUSG00000000374.8	781	631	1105	1070	946	743
ENSMUSG00000000378.15	103	78	146	118	125	118
ENSMUSG00000000381.10	0	0	0	0	0	0
